Time	Amplitude
 (1.680000000000000000e+03+0.000000000000000000e+00j)	 (-2.389263176888683782e-01-4.111719957774879336e-02j)
 (1.690000000000000000e+03+0.000000000000000000e+00j)	 (-2.340641519463307063e-01-6.316949387611678346e-02j)
 (1.700000000000000000e+03+0.000000000000000000e+00j)	 (-2.271712443466210596e-01-8.467373100536565445e-02j)
 (1.710000000000000000e+03+0.000000000000000000e+00j)	 (-2.183073975350289520e-01-1.054433400423460121e-01j)
 (1.720000000000000000e+03+0.000000000000000000e+00j)	 (-2.075495140453640086e-01-1.252981236682265409e-01j)
 (1.730000000000000000e+03+0.000000000000000000e+00j)	 (-1.949909290970215925e-01-1.440658215628102257e-01j)
 (1.740000000000000000e+03+0.000000000000000000e+00j)	 (-1.807406008217886106e-01-1.615836049378417127e-01j)
 (1.750000000000000000e+03+0.000000000000000000e+00j)	 (-1.649221649459415850e-01-1.776994892426987105e-01j)
 (1.760000000000000000e+03+0.000000000000000000e+00j)	 (-1.476728621291802102e-01-1.922736527857923650e-01j)
 (1.770000000000000000e+03+0.000000000000000000e+00j)	 (-1.291423472667628802e-01-2.051796498312864203e-01j)
 (1.780000000000000000e+03+0.000000000000000000e+00j)	 (-1.094913910853176769e-01-2.163055076462546966e-01j)
 (1.790000000000000000e+03+0.000000000000000000e+00j)	 (-8.889048529725299130e-02-2.255546979802559027e-01j)
 (1.800000000000000000e+03+0.000000000000000000e+00j)	 (-6.751836341542513664e-02-2.328469745487197484e-01j)
 (1.810000000000000000e+03+0.000000000000000000e+00j)	 (-4.556045006146863113e-02-2.381190692540816611e-01j)
 (1.820000000000000000e+03+0.000000000000000000e+00j)	 (-2.320725222158284001e-02-2.413252411042034751e-01j)
 (1.830000000000000000e+03+0.000000000000000000e+00j)	 (-6.527064072186967731e-04-2.424376730656123968e-01j)
 (1.840000000000000000e+03+0.000000000000000000e+00j)	 (2.190750393927827500e-02-2.414467134084002931e-01j)
 (1.850000000000000000e+03+0.000000000000000000e+00j)	 (4.427764619588493017e-02-2.383609594488259320e-01j)
 (1.860000000000000000e+03+0.000000000000000000e+00j)	 (6.626363673926562170e-02-2.332071829630144033e-01j)
 (1.870000000000000000e+03+0.000000000000000000e+00j)	 (8.767472481687259289e-02-2.260300979188158976e-01j)
 (1.880000000000000000e+03+0.000000000000000000e+00j)	 (1.083251475034979483e-01-2.168919725409290677e-01j)
 (1.890000000000000000e+03+0.000000000000000000e+00j)	 (1.280357413838074110e-01-2.058720890749753951e-01j)
 (1.900000000000000000e+03+0.000000000000000000e+00j)	 (1.466354969779128381e-01-1.930660559375539653e-01j)
 (1.910000000000000000e+03+0.000000000000000000e+00j)	 (1.639630424237034645e-01-1.785849782200384650e-01j)
 (1.920000000000000000e+03+0.000000000000000000e+00j)	 (1.798680435434928671e-01-1.625544937427808589e-01j)
 (1.930000000000000000e+03+0.000000000000000000e+00j)	 (1.942125081479467719e-01-1.451136830228852981e-01j)
 (1.940000000000000000e+03+0.000000000000000000e+00j)	 (2.068719832610930176e-01-1.264138626126585507e-01j)
 (1.950000000000000000e+03+0.000000000000000000e+00j)	 (2.177366348792570128e-01-1.066172722776884130e-01j)
 (1.960000000000000000e+03+0.000000000000000000e+00j)	 (2.267122008958534773e-01-8.589566740461151984e-02j)
 (1.970000000000000000e+03+0.000000000000000000e+00j)	 (2.337208089244265652e-01-6.442882885079631583e-02j)
 (1.980000000000000000e+03+0.000000000000000000e+00j)	 (2.387016519244307411e-01-4.240300316451341145e-02j)
 (1.990000000000000000e+03+0.000000000000000000e+00j)	 (2.416115157679752379e-01-2.000928670822162830e-02j)
 (2.000000000000000000e+03+0.000000000000000000e+00j)	 (2.424251541702996116e-01+2.558032295653342968e-03j)
 (2.010000000000000000e+03+0.000000000000000000e+00j)	 (2.411355077310315675e-01+2.510315941203036458e-02j)
 (2.020000000000000000e+03+0.000000000000000000e+00j)	 (2.377537651857682399e-01+4.743049270888956975e-02j)
 (2.030000000000000000e+03+0.000000000000000000e+00j)	 (2.323092663365096955e-01+6.934631980328583023e-02j)
 (2.040000000000000000e+03+0.000000000000000000e+00j)	 (2.248492475030695881e-01+9.066049851407240179e-02j)
 (2.050000000000000000e+03+0.000000000000000000e+00j)	 (2.154384317038812724e-01+1.111881065399480950e-01j)
 (2.060000000000000000e+03+0.000000000000000000e+00j)	 (2.041584671217491209e-01+1.307510458501754957e-01j)
 (2.070000000000000000e+03+0.000000000000000000e+00j)	 (1.911072187263714584e-01+1.491795878682413146e-01j)
 (2.080000000000000000e+03+0.000000000000000000e+00j)	 (1.763979191994974605e-01+1.663138460423720100e-01j)
 (2.090000000000000000e+03+0.000000000000000000e+00j)	 (1.601581865292481255e-01+1.820051630268542942e-01j)
 (2.100000000000000000e+03+0.000000000000000000e+00j)	 (1.425289167969413240e-01+1.961174004388979153e-01j)
 (2.110000000000000000e+03+0.000000000000000000e+00j)	 (1.236630617625844308e-01+2.085281200010568881e-01j)
 (2.120000000000000000e+03+0.000000000000000000e+00j)	 (1.037243018546859102e-01+2.191296458215584164e-01j)
 (2.130000000000000000e+03+0.000000000000000000e+00j)	 (8.288562607753362232e-02+2.278299985961261820e-01j)
 (2.140000000000000000e+03+0.000000000000000000e+00j)	 (6.132783115665303014e-02+2.345536936261052585e-01j)
 (2.150000000000000000e+03+0.000000000000000000e+00j)	 (3.923795294388571220e-02+2.392423957292135750e-01j)
 (2.160000000000000000e+03+0.000000000000000000e+00j)	 (1.680764369121767049e-02+2.418554253608588833e-01j)
 (2.170000000000000000e+03+0.000000000000000000e+00j)	 (-5.768490727846678143e-03+2.423701115548462237e-01j)
 (2.180000000000000000e+03+0.000000000000000000e+00j)	 (-2.829457922304598472e-02+2.407819886213040661e-01j)
 (2.190000000000000000e+03+0.000000000000000000e+00j)	 (-5.057518486966230964e-02+2.371048348952249918e-01j)
 (2.200000000000000000e+03+0.000000000000000000e+00j)	 (-7.241700052445022850e-02+2.313705531993815456e-01j)
 (2.210000000000000000e+03+0.000000000000000000e+00j)	 (-9.363052596398710459e-02+2.236288940586772800e-01j)
 (2.220000000000000000e+03+0.000000000000000000e+00j)	 (-1.140317119945601920e-01+2.139470240672765311e-01j)
 (2.230000000000000000e+03+0.000000000000000000e+00j)	 (-1.334435572692175553e-01+2.024089431533240835e-01j)
 (2.240000000000000000e+03+0.000000000000000000e+00j)	 (-1.516976439579475477e-01+1.891147557970317417e-01j)
 (2.250000000000000000e+03+0.000000000000000000e+00j)	 (-1.686355989474484784e-01+1.741798025250153592e-01j)
 (2.260000000000000000e+03+0.000000000000000000e+00j)	 (-1.841104678930464145e-01+1.577336592160235862e-01j)
 (2.270000000000000000e+03+0.000000000000000000e+00j)	 (-1.979879902014380910e-01+1.399190129000478233e-01j)
 (2.280000000000000000e+03+0.000000000000000000e+00j)	 (-2.101477638824026939e-01+1.208904238044106599e-01j)
 (2.290000000000000000e+03+0.000000000000000000e+00j)	 (-2.204842901632042551e-01+1.008129843872698217e-01j)
 (2.300000000000000000e+03+0.000000000000000000e+00j)	 (-2.289078888024971559e-01+7.986088699281795877e-02j)
 (2.310000000000000000e+03+0.000000000000000000e+00j)	 (-2.353454761624252933e-01+5.821591255519145691e-02j)
 (2.320000000000000000e+03+0.000000000000000000e+00j)	 (-2.397411992882880483e-01+3.606585346310677009e-02j)
 (2.330000000000000000e+03+0.000000000000000000e+00j)	 (-2.420569204944225949e-01+1.360288426851285516e-02j)
 (2.340000000000000000e+03+0.000000000000000000e+00j)	 (-2.422725482519817453e-01-8.978105625020046249e-03j)
 (2.350000000000000000e+03+0.000000000000000000e+00j)	 (-2.403862115077559092e-01-3.148120282849108109e-02j)
 (2.360000000000000000e+03+0.000000000000000000e+00j)	 (-2.364142759215964174e-01-5.371116971827167436e-02j)
 (2.370000000000000000e+03+0.000000000000000000e+00j)	 (-2.303912018815113538e-01-7.547513832440561066e-02j)
 (2.380000000000000000e+03+0.000000000000000000e+00j)	 (-2.223692455282465785e-01-9.658428366018927125e-02j)
 (2.390000000000000000e+03+0.000000000000000000e+00j)	 (-2.124180053832220583e-01-1.168554619751479701e-01j)
 (2.400000000000000000e+03+0.000000000000000000e+00j)	 (-2.006238185132473428e-01-1.361127997178587790e-01j)
 (2.410000000000000000e+03+0.000000000000000000e+00j)	 (-1.870890114708624041e-01-1.541892194227099666e-01j)
 (2.420000000000000000e+03+0.000000000000000000e+00j)	 (-1.719310125091175756e-01-1.709278892819359741e-01j)
 (2.430000000000000000e+03+0.000000000000000000e+00j)	 (-1.552813327732167903e-01-1.861835838263429521e-01j)
 (2.440000000000000000e+03+0.000000000000000000e+00j)	 (-1.372844253081907107e-01-1.998239439093990599e-01j)
 (2.450000000000000000e+03+0.000000000000000000e+00j)	 (-1.180964317818483933e-01-2.117306250629838182e-01j)
 (2.460000000000000000e+03+0.000000000000000000e+00j)	 (-9.788382779646560838e-02-2.218003242615719239e-01j)
